record_id,search_timestamp,travel_date,lead_time_days,source_platform,origin_iata,dest_iata,route,origin_raw,dest_raw,airline_standardized,airline_raw,flight_number,departure_time,arrival_time,duration_minutes,duration_raw,cabin_class,total_fare_inr,base_fare_inr,fuel_surcharge_inr,udf_psf_inr,gst_inr,convenience_fee_inr,taxes_fees_inr,is_nonstop,stops_count,stop_info,raw_hash,booking_url,airline_url
SCR_GF_1789324630_019,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,SpiceJet,SpiceJet,SG (Direct),4:55 PM,7:25 PM,150,2 hr 30 min,Economy,8282.0,4903.77,2307.66,710.0,360.57,0.0,3378.23,True,0,Non-Stop,2d753b361b96,,
SCR_GF_1789324630_020,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),6:10 AM,8:10 AM,120,2 hr,Economy,8841.0,5265.79,2478.02,710.0,387.19,0.0,3575.21,True,0,Non-Stop,64934cb7e6f3,,
SCR_GF_1789324631_021,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),11:50 AM,2:05 PM,135,2 hr 15 min,Economy,8841.0,5265.79,2478.02,710.0,387.19,0.0,3575.21,True,0,Non-Stop,fa7765bac629,,
SCR_GF_1789324631_022,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,Akasa Air,Akasa Air,QP (Direct),10:50 AM,1:05 PM,135,2 hr 15 min,Economy,12065.0,7353.71,3460.58,710.0,540.71,0.0,4711.29,True,0,Non-Stop,5aae425cb62b,,
SCR_GF_1789324631_023,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,Air India,Air India,AI (Direct),1:00 PM,3:15 PM,135,2 hr 15 min,Economy,13591.0,8341.98,3925.64,710.0,613.38,0.0,5249.02,True,0,Non-Stop,05238de0dd08,,
SCR_GF_1789324631_026,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),4:25,6:30,125,2 hr 5 min,Economy,7336.0,4291.12,2019.36,710.0,315.52,0.0,3044.88,True,0,Non-Stop,e7318d55ada7,,
SCR_GF_1789324632_034,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),7:10,9:15,125,2 hr 5 min,Economy,7139.0,4163.54,1959.32,710.0,306.14,0.0,2975.46,True,0,Non-Stop,7a2be4b85b20,,
SCR_GF_1789324632_035,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),5:45,8:05,140,2 hr 20 min,Economy,7333.0,4289.18,2018.44,710.0,315.38,0.0,3043.82,True,0,Non-Stop,fe350b9042be,,
SCR_GF_1789324632_036,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),6:15,8:20,125,2 hr 5 min,Economy,7336.0,4291.12,2019.36,710.0,315.52,0.0,3044.88,True,0,Non-Stop,b49e791a2f82,,
SCR_GF_1789324632_037,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),9:15,11:20,125,2 hr 5 min,Economy,7336.0,4291.12,2019.36,710.0,315.52,0.0,3044.88,True,0,Non-Stop,5d0d09e80fa0,,
SCR_GF_1789324632_038,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),4:00,6:15,135,2 hr 15 min,Economy,7459.0,4370.78,2056.84,710.0,321.38,0.0,3088.22,True,0,Non-Stop,1558969c82e4,,
SCR_GF_1789324632_039,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),8:50,11:05,135,2 hr 15 min,Economy,7522.0,4411.58,2076.04,710.0,324.38,0.0,3110.42,True,0,Non-Stop,7ef74fca0dab,,
SCR_GF_1789324633_043,2026-09-14 00:07:02,2026-09-15,1,google_flights,DEL,PNQ,DEL-PNQ,DEL,PNQ,IndiGo,IndiGo,6E (Direct),4:55,7:25,150,2 hr 30 min,Economy,8282.0,4903.77,2307.66,710.0,360.57,0.0,3378.23,True,0,Non-Stop,c085315d5494,,
